epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5659,2.01056,3.94563,2.37251,0.12013,0.288,0.0881,0.02706,2.05379,3.31414,2.43222,0.000661538,0.000661538,0.000661538
2,91.1478,1.93083,3.1599,2.35824,0.14248,0.22863,0.09124,0.02702,2.19081,7.93423,2.76763,0.00119671,0.00119671,0.00119671
3,132.126,1.96765,2.82854,2.38844,0.12057,0.13,0.10249,0.03117,2.14769,2.94024,2.42726,0.00159989,0.00159989,0.00159989
4,174.008,1.95782,2.65264,2.29474,0.12706,0.288,0.11623,0.03383,2.27464,2.6512,2.46207,0.001406,0.001406,0.001406
5,214.426,1.90001,2.51008,2.24541,0.21735,0.43,0.23317,0.08086,1.92486,2.38661,2.18362,0.001208,0.001208,0.001208
6,255.839,1.83081,2.39482,2.18427,0.23395,0.48,0.25811,0.08911,1.90735,2.31914,2.13424,0.00101,0.00101,0.00101
7,296.947,1.8116,2.26739,2.13463,0.27875,0.426,0.25276,0.09298,1.90159,2.22184,2.09977,0.000812,0.000812,0.000812
8,338.827,1.77236,2.13762,2.06778,0.3669,0.464,0.37727,0.15045,1.78825,2.17958,2.03679,0.000614,0.000614,0.000614
9,379.538,1.7004,1.99443,1.99869,0.49622,0.53,0.47739,0.19358,1.77713,1.99735,2.04498,0.000416,0.000416,0.000416
10,420.334,1.6215,1.90275,1.93648,0.55846,0.58,0.54834,0.25206,1.67528,1.79613,1.9416,0.000218,0.000218,0.000218
