epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0312,1.96269,3.23247,2.10263,0.13375,0.194,0.07467,0.01818,2.77103,3.31084,2.96281,0.000661538,0.000661538,0.000661538
2,98.8161,1.92732,2.83184,2.09849,0.11672,0.128,0.06476,0.01877,2.56571,3.31329,2.69713,0.00130191,0.00130191,0.00130191
3,144.577,1.92537,2.7337,2.12613,0.21532,0.23709,0.14503,0.04589,2.22257,2.653,2.38064,0.00191587,0.00191587,0.00191587
4,192.589,1.91613,2.65494,2.07455,0.1488,0.11,0.09271,0.0288,2.23415,2.88658,2.45598,0.0018812,0.0018812,0.0018812
5,237.893,1.8814,2.61324,2.05575,0.15881,0.21,0.09369,0.02553,2.46906,3.79063,2.64586,0.0018416,0.0018416,0.0018416
6,283.451,1.88689,2.52436,2.01632,0.18532,0.214,0.11037,0.03159,2.192,2.94597,2.38173,0.001802,0.001802,0.001802
7,329.091,1.82729,2.44813,1.99982,0.26642,0.362,0.21853,0.07877,2.03636,2.35991,2.25042,0.0017624,0.0017624,0.0017624
8,373.732,1.81419,2.41147,1.97132,0.27717,0.282,0.22407,0.0809,1.98606,2.35949,2.18628,0.0017228,0.0017228,0.0017228
9,417.126,1.77626,2.28163,1.92801,0.44257,0.39857,0.36936,0.13597,1.99415,2.29599,2.2548,0.0016832,0.0016832,0.0016832
10,461.055,1.73742,2.25199,1.91161,0.32796,0.272,0.23572,0.08598,2.06634,2.55181,2.35275,0.0016436,0.0016436,0.0016436
11,507.382,1.71006,2.22823,1.88587,0.4114,0.442,0.41727,0.17697,1.86543,1.97411,2.11472,0.001604,0.001604,0.001604
12,551.187,1.68969,2.14433,1.8659,0.45007,0.41084,0.4075,0.15199,1.97353,2.2439,2.16391,0.0015644,0.0015644,0.0015644
13,596.021,1.66788,2.08678,1.84657,0.52155,0.414,0.45122,0.19796,1.8953,2.0287,2.08152,0.0015248,0.0015248,0.0015248
14,639.917,1.66127,2.04313,1.81533,0.49599,0.45,0.44859,0.17672,1.90014,2.00792,2.08219,0.0014852,0.0014852,0.0014852
15,685.278,1.6135,1.993,1.80502,0.39953,0.384,0.35418,0.15553,1.96922,2.26823,2.29097,0.0014456,0.0014456,0.0014456
16,730.752,1.57628,1.93365,1.7678,0.48501,0.564,0.51738,0.23471,1.75586,1.9026,2.01741,0.001406,0.001406,0.001406
17,775.903,1.5533,1.90449,1.7643,0.59138,0.52,0.53828,0.23539,1.89621,1.7272,2.06556,0.0013664,0.0013664,0.0013664
18,820.697,1.54663,1.84923,1.73516,0.63381,0.596,0.63901,0.30919,1.64543,1.64085,1.90346,0.0013268,0.0013268,0.0013268
19,866.254,1.53333,1.87904,1.74006,0.57095,0.50035,0.5146,0.25104,1.78375,1.80532,2.05721,0.0012872,0.0012872,0.0012872
20,910.827,1.51963,1.78962,1.72175,0.63279,0.58,0.62741,0.29839,1.7719,1.70136,2.07167,0.0012476,0.0012476,0.0012476
21,954.864,1.5061,1.73757,1.69681,0.74697,0.588,0.6509,0.32542,1.67298,1.54836,1.91001,0.001208,0.001208,0.001208
22,999.651,1.49079,1.70707,1.6845,0.60773,0.54843,0.60398,0.33138,1.58996,1.52761,1.81381,0.0011684,0.0011684,0.0011684
23,1046.38,1.45652,1.69928,1.66802,0.67088,0.64,0.67132,0.34396,1.64529,1.55513,1.87877,0.0011288,0.0011288,0.0011288
24,1089.99,1.45041,1.63964,1.6542,0.74092,0.652,0.73049,0.42146,1.50281,1.37656,1.7794,0.0010892,0.0010892,0.0010892
25,1135.12,1.44551,1.63623,1.65017,0.70294,0.64838,0.69552,0.40353,1.48245,1.41046,1.75626,0.0010496,0.0010496,0.0010496
26,1179.11,1.38226,1.5578,1.61445,0.71036,0.68671,0.74,0.40496,1.54501,1.35223,1.78722,0.00101,0.00101,0.00101
27,1223.66,1.38311,1.56455,1.61738,0.64609,0.58419,0.63906,0.36524,1.56794,1.4577,1.89424,0.0009704,0.0009704,0.0009704
28,1268.56,1.35549,1.53682,1.60468,0.67485,0.66831,0.70367,0.4125,1.5206,1.27965,1.85178,0.0009308,0.0009308,0.0009308
29,1311.83,1.33858,1.47702,1.57245,0.74329,0.67174,0.74681,0.45489,1.44194,1.28849,1.73057,0.0008912,0.0008912,0.0008912
30,1357.07,1.3204,1.46196,1.55385,0.75388,0.686,0.76769,0.44974,1.40862,1.18682,1.68965,0.0008516,0.0008516,0.0008516
31,1403.79,1.28823,1.42238,1.52606,0.83523,0.648,0.78447,0.4876,1.32527,1.15041,1.66245,0.000812,0.000812,0.000812
32,1449.5,1.25913,1.38803,1.52502,0.76406,0.694,0.76037,0.44542,1.43112,1.19822,1.73563,0.0007724,0.0007724,0.0007724
33,1495.31,1.28872,1.38454,1.52548,0.77915,0.64208,0.74993,0.46293,1.41798,1.20352,1.73133,0.0007328,0.0007328,0.0007328
34,1542.59,1.23563,1.31667,1.49819,0.78673,0.69,0.78594,0.49071,1.30029,1.11815,1.62942,0.0006932,0.0006932,0.0006932
35,1587.79,1.24441,1.30134,1.49515,0.74494,0.734,0.77335,0.49674,1.32753,1.11857,1.65143,0.0006536,0.0006536,0.0006536
36,1632.28,1.21993,1.27035,1.47882,0.76437,0.71,0.78609,0.48147,1.35441,1.1265,1.65061,0.000614,0.000614,0.000614
37,1678.15,1.19099,1.24115,1.46623,0.78982,0.71399,0.79986,0.513,1.3022,1.06246,1.6399,0.0005744,0.0005744,0.0005744
38,1724.34,1.20729,1.24892,1.47303,0.76557,0.72,0.78459,0.50432,1.29769,1.09637,1.65288,0.0005348,0.0005348,0.0005348
39,1768.6,1.18229,1.23592,1.45792,0.81053,0.66735,0.78438,0.50035,1.33047,1.07843,1.62867,0.0004952,0.0004952,0.0004952
40,1813.48,1.16921,1.22265,1.45041,0.7637,0.72395,0.79495,0.52031,1.26604,1.0564,1.60097,0.0004556,0.0004556,0.0004556
41,1857.96,1.12876,1.02909,1.48116,0.7676,0.72665,0.80223,0.51079,1.27208,1.02567,1.60355,0.000416,0.000416,0.000416
42,1900.64,1.10039,0.94106,1.47042,0.80187,0.738,0.81628,0.53236,1.2328,0.9972,1.55344,0.0003764,0.0003764,0.0003764
43,1942.25,1.04785,0.9289,1.43597,0.81495,0.736,0.82263,0.54668,1.22452,0.98913,1.57187,0.0003368,0.0003368,0.0003368
44,1984.51,1.03512,0.88474,1.4328,0.76394,0.75728,0.81173,0.54902,1.19796,0.97803,1.55804,0.0002972,0.0002972,0.0002972
45,2026.17,1.01588,0.87909,1.40848,0.75723,0.774,0.82188,0.55651,1.20012,0.94872,1.5479,0.0002576,0.0002576,0.0002576
46,2069.08,0.97917,0.83896,1.38055,0.78726,0.762,0.82459,0.56489,1.17207,0.94987,1.52528,0.000218,0.000218,0.000218
47,2110.98,0.97725,0.82106,1.38814,0.78445,0.77153,0.82765,0.57236,1.15077,0.94822,1.5011,0.0001784,0.0001784,0.0001784
48,2152.2,0.95899,0.80046,1.36508,0.8008,0.762,0.83187,0.58044,1.14723,0.92504,1.51453,0.0001388,0.0001388,0.0001388
49,2193.67,0.95,0.75266,1.35173,0.81,0.762,0.8373,0.58522,1.13458,0.91626,1.50703,9.92e-05,9.92e-05,9.92e-05
50,2236.52,0.93866,0.77414,1.34932,0.77518,0.788,0.8367,0.58639,1.12506,0.91195,1.49711,5.96e-05,5.96e-05,5.96e-05
